ARANDELA PLANA - ASTM A325,06,"3/8""",10.90,20.00,1.50
ARANDELA PLANA - ASTM A325,08,"1/2""",14.10,25.40,2.50
ARANDELA PLANA - ASTM A325,10,"5/8""",18.30,32.70,3.30
ARANDELA PLANA - ASTM A325,12,"3/4""",21.40,35.70,3.10
ARANDELA PLANA - ASTM A325,14,"7/8""",24.40,43.60,3.60
ARANDELA PLANA - ASTM A325,16,"1""",28.50,49.30,3.60
ARANDELA PLANA - ASTM A325,20,"1 1/8""",31.70,55.90,3.50
ARANDELA PLANA - ASTM A325,22,"1 1/4""",35.40,63.10,3.50
ARANDELA PLANA - ASTM A325,24,"1 3/8""",39.30,68.20,3.60
ARANDELA PLANA - ASTM A325,26,"1 1/2""",42.70,74.90,3.60
ARANDELA PLANA - ASTM A325,27,"1 5/8""",45.50,81.30,4.80
ARANDELA PLANA - ASTM A325,28,"1 3/4""",48.10,85.00,4.80
ARANDELA PLANA - ASTM A325,29,"1 7/8""",51.70,87.30,4.80
ARANDELA PLANA - ASTM A325,30,"2""",55.20,93.60,4.80
